id	filename	md5	size	state
00aac11a-9432-43a9-b35a-ee9edb3718d0	00aac11a-9432-43a9-b35a-ee9edb3718d0/f5d259d3-a462-4d0f-919a-c0783801dc5c.FPKM.txt.gz	c71375a5cecdec9e78402eb81eb55cee	507696	validated
0606dae8-bf7d-41bc-b54b-d660de366972	0606dae8-bf7d-41bc-b54b-d660de366972/5f36aa0d-7f3c-49e2-812e-f3317264ac68.FPKM.txt.gz	f4e64e0332bd6a4c9c9d9fd52ecc1967	519161	validated
0782b9c5-d4e6-4da5-a42b-b3cbff3021a5	0782b9c5-d4e6-4da5-a42b-b3cbff3021a5/4667aded-fa48-493e-8cec-308648b0bb9b.FPKM.txt.gz	4ac095edae01a1ee98775161d153fe5d	482534	validated
09ebf249-626a-405c-8b55-5742fc01379b	09ebf249-626a-405c-8b55-5742fc01379b/a7da5222-c4dd-44a8-9b4b-abba71dd1c07.FPKM.txt.gz	bec4e1cf7fe1fbc02e7ba9e03771ab21	521441	validated
0b2d94aa-d392-40c4-b7b4-8606c5334ba1	0b2d94aa-d392-40c4-b7b4-8606c5334ba1/407cbe84-b510-441f-92c7-1d8d245f6704.FPKM.txt.gz	2ec7df9eb3874be8f922a6f9cee0c159	530740	validated
0b635b52-f413-4e45-8a3e-c25f9d02308f	0b635b52-f413-4e45-8a3e-c25f9d02308f/aaffafa9-2aa2-45da-b8ca-78c0f2b52303.FPKM.txt.gz	fb6a9faded64fcfdc53bbfef50785535	515175	validated
0bca49da-7d3e-490c-940c-19e4a168151e	0bca49da-7d3e-490c-940c-19e4a168151e/e89140b0-af29-4aaa-b8c7-058d9397efce.FPKM.txt.gz	8bf9be7c8048a0fd6546ca00a5376f2c	531237	validated
0c409808-2932-401f-91fc-22cbf435de08	0c409808-2932-401f-91fc-22cbf435de08/277c1b56-fe35-4690-8efd-1e8c6cd04370.FPKM.txt.gz	fe2d749da578d1bf065b17848666a5fd	519260	validated
104638df-5928-4b38-8e6a-49c625624c57	104638df-5928-4b38-8e6a-49c625624c57/dfdc1010-e1aa-407e-aa1c-bb51b86f3ebd.FPKM.txt.gz	b1830467f268e1fefc690daaa9b74537	496233	validated
11438513-d5aa-46d7-a7de-f7bfc93889c7	11438513-d5aa-46d7-a7de-f7bfc93889c7/cc7bed37-462e-4251-90fa-14ad4c662f7e.FPKM.txt.gz	bb935f5a2bfee77eb24715cbda8c8fb7	533552	validated
14f66658-6460-4780-9791-4694f962d936	14f66658-6460-4780-9791-4694f962d936/677291bf-6149-4c97-b958-dd2b0219bfe5.FPKM.txt.gz	68c450912304b07c7bc3f00244dee5b7	494101	validated
1ab799ed-cd5c-459a-924c-344b10338b3b	1ab799ed-cd5c-459a-924c-344b10338b3b/c0cd55bb-9bec-4e83-a453-cc73637673eb.FPKM.txt.gz	ba54f52c981b22b66463fdb2e79c1675	501417	validated
1dd95c52-feee-44a8-8771-c23d8848ebd3	1dd95c52-feee-44a8-8771-c23d8848ebd3/8629eea4-710b-4f37-ab7f-afa5276d8712.FPKM.txt.gz	a5ba55712ddad34eb639acc25a294f2e	528422	validated
1e050706-279d-4a63-b698-09beb959f14b	1e050706-279d-4a63-b698-09beb959f14b/937699af-f9a2-4d72-b7b4-db8b8d858719.FPKM.txt.gz	d02205a4b965204cc13582c10374defd	509412	validated
1f12986b-d2b1-4506-9d08-1e7da28e9cf1	1f12986b-d2b1-4506-9d08-1e7da28e9cf1/765c6ef0-79e9-48cd-a606-8d14245a751b.FPKM.txt.gz	f9686bf7843fcffbd2e35b6f659755b4	518960	validated
