"officialSymbol"	"genes"	"epiMes_tumor"	"epiMes_cellLine"	"Ensembl.Gene.ID"	"HGNC.symbol"	"EntrezGene.ID"
"TUBB6"	"TUBB6"	"mes"	"mes"	"ENSG00000176014"	"TUBB6"	84617
"TUFT1"	"TUFT1"	"epi"	NA	"ENSG00000143367"	"TUFT1"	7286
"TWIST1"	"TWIST1"	"mes"	NA	"ENSG00000122691"	"TWIST1"	7291
"UCHL1"	"UCHL1"	"mes"	NA	"ENSG00000154277"	"UCHL1"	7345
"UGT1A1"	"UGT1A1"	NA	"epi"	"ENSG00000241635"	"UGT1A1"	54658
"VAMP8"	"VAMP8"	"epi"	"epi"	"ENSG00000118640"	"VAMP8"	8673
"VAV3"	"VAV3"	"epi"	NA	"ENSG00000134215"	"VAV3"	10451
"VCAM1"	"VCAM1"	"mes"	NA	"ENSG00000162692"	"VCAM1"	7412
"VCAN"	"VCAN"	"mes"	NA	"ENSG00000038427"	"VCAN"	1462
"VGLL1"	"VGLL1"	NA	"epi"	"ENSG00000102243"	"VGLL1"	51442
"VIM"	"VIM"	"mes"	"mes"	"ENSG00000026025"	"VIM"	7431
"VSIG4"	"VSIG4"	"mes"	NA	"ENSG00000155659"	"VSIG4"	11326
"WIPF1"	"WIPF1"	"mes"	NA	"ENSG00000115935"	"WIPF1"	7456
"WWTR1"	"WWTR1"	"mes"	NA	"ENSG00000018408"	"WWTR1"	25937
"XBP1"	"XBP1"	NA	"epi"	"ENSG00000100219"	"XBP1"	7494
"ZCCHC24"	"ZCCHC24"	"mes"	NA	"ENSG00000165424"	"ZCCHC24"	219654
"ZEB1"	"ZEB1"	"mes"	"mes"	"ENSG00000148516"	"ZEB1"	6935
"ZEB2"	"ZEB2"	"mes"	NA	"ENSG00000169554"	"ZEB2"	9839
"ZFPM2"	"ZFPM2"	"mes"	NA	"ENSG00000169946"	"ZFPM2"	23414
"ZNF165"	"ZNF165"	NA	"epi"	"ENSG00000197279"	"ZNF165"	7718
